aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
HAD,,,Helipuerto,HELIPLATAFORMA AM2,"""52°32'56""""S  68°18'45""""W""",-68.3125,-52.548889,44,Metros,Estrecho de Magallanes,0,Lindando,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
HJN,,,Helipuerto,JUNIN DE LOS ANDES/EA. PALITUE,"""39°51'10""""S  71° 2'47""""W""",-71.046426,-39.852774,859,Metros,Junin de los Andes,10,N,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
JRZ,SAZJ,,Aerodromo,JUAREZ,"""37°42'22""""S  59°47'31""""W""",-59.79194444,-37.70611111,212,Metros,Benito Juarez,3,SSO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
MTN,,,Aerodromo,METAN,"""25°30'51""""S  64°57'56""""W""",-64.96555556,-25.51416667,843,Metros,Metan,2,NO,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,SALTA
SLY,,,Aerodromo,SALDUNGARAY/SANTO TOMAS DE LA SIERRA,"""38°14'30""""S  61°49'40""""W""",-61.82767,-38.24173,273,Metros,Saldungaray,5,SSO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
GTE,,,Aerodromo,GUATRACHE,"""37°42'19""""S  63°33'25""""W""",-63.55708,-37.70516,175,Metros,Guatrache,3,SSO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
IVB,,,Aerodromo,ISLA VERDE/D. HECTOR BIONDI,"""33°14'48""""S  62°24'55""""W""",-62.41538,-33.24674,118,Metros,Isla Verde,1,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CORDOBA
OVJ,,,Aerodromo,LAS OVEJAS,"""36°59'57""""S  70°44'32""""W""",-70.74222222,-36.99916667,1200,Metros,Las Ovejas,1.5,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
RYD,SAOR,VME,Aerodromo,VILLA REYNOLDS,"""33°43'54""""S  65°22'33""""W""",-65.37579,-33.73178,485,Metros,Villa Mercedes,9,SE,PUBLICO,CONTROL,RANO,,Nacional,SI,SI,SAN LUIS
HBA,,,Helipuerto,SAN CARLOS DE BARILOCHE/ARELAUQUEN,"""41° 9'40""""S  71°21'56""""W""",-71.36568,-41.161161,945,Metros,San Carlos de Bariloche,8,SO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RIO NEGRO
PEL,,,Aerodromo,LA PELADA,"""30°57'39""""S  60°53'13""""W""",-60.88698,-30.96087,44,Metros,La Pelada,13,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
SGI,,,Aerodromo,TRES ARROYOS/SANTAGIULIAN,"""38°24'30""""S  60°18' 4""""W""",-60.30111111,-38.40833333,104,Metros,Tres Arroyos,1.5,SSO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
HTD,,,Helipuerto,TANDIL/EA. LA PASCUALA,"""37°23'37""""S  58°57'59""""W""",-58.966403,-37.393711,220,Metros,Tandil,22.3,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
LAR,SANL,IRJ,Aerodromo,LA RIOJA/CAP. VICENTE A. ALMONACID,"""29°22'50""""S  66°47'45""""W""",-66.79583333,-29.38055556,438,Metros,La Rioja,7,NE,PUBLICO,CONTROL,RANO,CIVIL,Nacional,SI,SI,LA RIOJA
TRH,SANR,RHD,Aerodromo,TERMAS DE RIO HONDO,"""27°29'48""""S  64°56' 9""""W""",-64.93596,-27.49662,280.5,Metros,Termas de Rio Hondo,7.5,O,PUBLICO,CONTROL,RANO,CIVIL,Nacional,SI,SI,SANTIAGO DEL ESTERO
HHT,,,Helipuerto,DON TORCUATO/TECNOCOPTER S.A.,"""34°29'34""""S  58°36'25""""W""",-58.606915,-34.492668,20,Metros,Ex Aerodromo Don Torcuato,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
RIN,SAHS,RDS,Aerodromo,RINCON DE LOS SAUCES,"""37°23'25""""S  68°54'16""""W""",-68.90444444,-37.39027778,600,Metros,Rincon de los Sauces,0,N,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,NEUQUEN
JBA,,,Aerodromo,JUAN BAUTISTA ALBERDI,"""34°29' 1""""S  61°54'16""""W""",-61.90455,-34.48351,102,Metros,Juan Bautista Alberdi,10,SO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
GAL,SAWG,RGL,Aerodromo,RIO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ,"""51°36'32""""S  69°18'44""""W""",-69.31217,-51.60881,19,Metros,Rio Gallegos,4.5,OSO,PUBLICO,CONTROL,RASU,,Internacional,SI,SI,SANTA CRUZ
GBL,,,Aerodromo,SALTA/GENERAL BELGRANO,"""24°44'45""""S  65°25' 8""""W""",-65.41888889,-24.74583333,1261,Metros,Salta,3,N,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,SALTA
MCO,,,Aerodromo,LOS MENUCOS,"""40°48'57""""S  68° 4'19""""W""",-68.07203,-40.81596,784,Metros,Los Menucos,3,SO,PUBLICO,NOCONTROL,RASU,,Nacional,NO,NO,RIO NEGRO
UAE,,,Aerodromo,GUALEGUAY/AEROCLUB,"""33° 6' 8""""S  59°22'26""""W""",-59.37388889,-33.10222222,13,Metros,Gualeguay,8,NO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
GOZ,,,Aerodromo,GOMEZ,"""35° 5'44""""S  58° 5' 9""""W""",-58.0858,-35.09556,19,Metros,Gomez,8,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HMQ,,,Helipuerto,HELIPLATAFORMA AM5,"""52°34'14""""S  68°15'12""""W""",-68.253333,-52.570556,30,Metros,Estrecho de Magallanes,0,Lindando,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
OMA,,,Aerodromo,LOMA LA LATA,"""38°24'50""""S  68°44'14""""W""",-68.73715,-38.41383,405,Metros,Neuquen,80,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,NEUQUEN
HOC,,,Helipuerto,HELIPLATAFORMA OCEANIC CHAMPION,"""52°50' 0""""S  66°25' 0""""W""",-66.41666667,-52.83333333,20,Metros,Rio Grande,138.9,,PRIVADO,NOCONTROL,RASU,,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
HPL,,,Helipuerto,LA RIOJA/HELIPUERTO POLICIA PROVINCIAL C.A.P.E.,"""29°26' 8""""S  66°51'48""""W""",-66.863203,-29.435592,520,Metros,La Rioja,2.6,SSO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,LA RIOJA
HPU,,,Helipuerto,PUELCHES/TRANSENER S.A.,"""38° 8'52""""S  65°49'30""""W""",-65.824946,-38.147703,229,Metros,Puelches,8,E,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
JUJ,SASJ,JUJ,Aerodromo,JUJUY/GOBERNADOR GUZMAN,"""24°23'33""""S  65° 5'52""""W""",-65.09777778,-24.3925,920,Metros,San Salvador de Jujuy,33,SE,PUBLICO,CONTROL,RANO,CIVIL,Internacional,SI,SI,JUJUY
SJR,,,Aerodromo,SAN JAVIER/AEROCLUB,"""30°33'21""""S  59°59'26""""W""",-59.99069,-30.55586,23,Metros,San Javier,6.5,ONO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
CSU,,,Aerodromo,CHAJARI/SUR,"""30°48' 8""""S  58° 0'51""""W""",-58.01428056,-30.80216944,69,Metros,Chajari,5,SSW,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
CUT,SAZW,CUT,Aerodromo,CUTRAL-CO,"""38°56'23""""S  69°15'54""""W""",-69.265,-38.93972222,650,Metros,Cutral Co,2,OSO,PUBLICO,AERADIO,RACE,CIVIL,Nacional,SI,NO,NEUQUEN
HCS,,,Helipuerto,CAPILLA DEL SEÑOR/LAS ARAUCARIAS,"""34°18'25""""S  59°10'13""""W""",-59.170276,-34.307048,25,Metros,Capilla del Señor,6.5,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ORA,SASO,ORA,Aerodromo,ORAN,"""23° 9' 8""""S  64°19'44""""W""",-64.3288,-23.15221,357,Metros,San Ramon de la Nueva Oran,2.5,S,PUBLICO,AERADIO,RANO,,Nacional,NO,NO,SALTA
PDP,,,Aerodromo,PRESIDENCIA ROCA/EA. DON PANOS,"""26°17'45""""S  59°32' 7""""W""",-59.53539,-26.29586,80,Metros,Presidencia Roca,16,SSE,PRIVADO,AERADIO,RANE,,Nacional,NO,NO,CHACO
SNT,SAAA,,Aerodromo,SAN ANTONIO DE ARECO,"""34°13'11""""S  59°26'21""""W""",-59.43911,-34.2198,30,Metros,San Antonio de Areco,3,NE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
CDS,,,Aerodromo,CAÑADON SECO,"""46°32'17""""S  67°33'35""""W""",-67.55972222,-46.53805556,90,Metros,Cañadon Seco,5,NE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
CIT,,,Aerodromo,CORRIENTES/ITATI,"""27°18'12""""S  58°18'55""""W""",-58.31527778,-27.30333333,60,Metros,Itati,8,OSO,PRIVADO,NOCONTROL,RANE,AEROAPP,Nacional,NO,NO,CORRIENTES
CLH,SAVH,LHS,Aerodromo,LAS HERAS,"""46°32'19""""S  68°57'57""""W""",-68.96583,-46.53848,330,Metros,Las Heras,2,O,PUBLICO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
NEI,,,Aerodromo,NECOCHEA/IRIBERRI,"""38°28'44""""S  58°48'16""""W""",-58.80453,-38.47884,33,Metros,Necochea,10,NO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
MAO,,,Aerodromo,VEINTICINCO DE MAYO,"""37°48'35""""S  67°39'34""""W""",-67.65938,-37.80974,347,Metros,25 de Mayo,7.5,ESE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
ROP,,,Aerodromo,ROSARIO/PUEBLO ESTHER,"""33° 4'54""""S  60°33'53""""W""",-60.56472222,-33.08166667,25,Metros,Pueblo Esther,1,SE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,SANTA FE
SAF,,,Aerodromo,SAFORCADA/PARAJON,"""34°34'35""""S  61° 0'20""""W""",-61.00568,-34.57637,84,Metros,Saforcada,6,E,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
VMC,,,Aerodromo,VICUÑA MACKENNA/COMEQUECHEN,"""33°56' 2""""S  64°24'57""""W""",-64.41595,-33.934,243,Metros,Vicuña Mackenna,3,SO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,CORDOBA
FRS,,,Aerodromo,FRIAS,"""28°37'43""""S  65° 6'48""""W""",-65.11333333,-28.62861111,330,Metros,Frias,2,NE,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SANTIAGO DEL ESTERO
STD,,,Aerodromo,STROEDER,"""40°12'37""""S  62°37' 3""""W""",-62.61747,-40.21038,28,Metros,Stroeder,1.5,S,PUBLICO,NOCONTROL,RASU,,Nacional,NO,NO,BUENOS AIRES
CDU,,,Aerodromo,CONCEPCION DEL URUGUAY,"""32°27'18""""S  58°18'24""""W""",-58.30666667,-32.455,34,Metros,Concepcion del Uruguay,8,NO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
HPC,,,Helipuerto,CORDOBA/POLICIA PROVINCIA DE CORDOBA,"""31°24'30""""S  64°11'58""""W""",-64.199434,-31.40821,393,Metros,Cordoba,0,O,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
HSC,,,Helipuerto,SPEGAZZINI/CENTRAL TERMICA,"""34°54' 7""""S  58°36'56""""W""",-58.61566667,-34.90202778,17,Metros,Carlos Spegazzini,2.2,NW,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
FAE,,,Aerodromo,FIRMAT/AEROCLUB,"""33°25'45""""S  61°30'40""""W""",-61.51124,-33.42909,105,Metros,Firmat,3,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
HLR,,,Helipuerto,LOS CARDALES/LA RESERVA,"""34°16'14""""S  58°54' 2""""W""",-58.900427,-34.270449,6,Metros,Los Cardales,10,NE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HUG,,,Aerodromo,HUANGUELEN,"""37° 3'10""""S  61°57'12""""W""",-61.95324,-37.05267,158,Metros,Huanguelen,2,N,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
NIN,SAAJ,JNI,Aerodromo,JUNIN,"""34°32'45""""S  60°55'50""""W""",-60.93051,-34.54589,80,Metros,Junin,6.5,NNE,PUBLICO,AERADIO,RACE,CIVIL,Nacional,SI,NO,BUENOS AIRES
HIT,,,Helipuerto,ITUZAINGO/TRANSENER,"""27°33'31""""S  56°39'30""""W""",-56.658294,-27.558575,71,Metros,Ituzaingo,4,NNE,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
PUP,,,Aerodromo,PUJATO/PETTILEP,"""33° 0'28""""S  61° 1' 4""""W""",-61.01765,-33.0077,61,Metros,Pujato,3,E,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
RST,,,Aerodromo,CAÑADA ROSQUIN/STIEFEL,"""31°59'41""""S  61°36'10""""W""",-61.60277778,-31.99472222,71,Metros,Cañada Rosquin,6.5,N,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTA FE
CTS,,,Aerodromo,CAPITAN SARMIENTO,"""34° 9'52""""S  59°43'53""""W""",-59.73148,-34.16435,49,Metros,Capitan Sarmiento,3,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HCL,,,Helipuerto,CATAN LIL/EA. SANTA ISABEL,"""39°53' 5""""S  70°30'50""""W""",-70.513907,-39.884782,950,Metros,Departamento de Collon Cura,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
SDL,,,Aerodromo,SALADILLO,"""35°36'16""""S  59°49' 0""""W""",-59.81676,-35.60439,45,Metros,Saladillo,4,NE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SMC,,,Aerodromo,SANTA MARIA,"""26°40'26""""S  66° 1'29""""W""",-66.02481,-26.67385,1800,Metros,Santa Maria,2,ENE,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,CATAMARCA
SMF,,,Aerodromo,SAN MARTIN/FINCA LA FRONTERA,"""22° 7'25""""S  63°17'26""""W""",-63.29064,-22.12362,49,Metros,Aguaray,49,NE,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,SALTA
BCA,SAZB,BHI,Aerodromo,BAHIA BLANCA/COMANDANTE ESPORA,"""38°43'39""""S  62° 9'12""""W""",-62.15333333,-38.7275,75,Metros,Bahia Blanca,10,E,PUBLICO,CONTROL,RACE,JOINT,Nacional,SI,NO,BUENOS AIRES
ELZ,,,Aerodromo,ELIZALDE,"""34°58'30""""S  57°57'45""""W""",-57.9625,-34.975,7,Metros,Rufino de Elizalde,2,SSO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
OLA,SAZF,OVR,Aerodromo,OLAVARRIA,"""36°53'20""""S  60°13'40""""W""",-60.22777778,-36.88888889,168,Metros,Olavarria,11,ENE,PUBLICO,AERADIO,RACE,,Nacional,NO,NO,BUENOS AIRES
HCC,,,Helipuerto,CHOEL  CHOEL/TRANSENER S.A.,"""39°33'60""""S  65°41'20""""W""",-65.68877,-39.566662,130,Metros,Lamarque,16,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RIO NEGRO
HUM,,,Aerodromo,HUMBOLDT/ESTABLECIMIENTO LA ADELITA,"""31°23'23""""S  61° 8'33""""W""",-61.14256,-31.38986,50,Metros,Humboldt,5.5,O,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
RGR,,,Aerodromo,RIO GALLEGOS/RIO CHICO,"""51°40' 7""""S  69°15'37""""W""",-69.26027778,-51.66861111,21,Metros,Rio Chico,5,SO,PRIVADO,NOCONTROL,RASU,,Nacional,NO,NO,SANTA CRUZ
RTA,SATR,RCQ,Aerodromo,RECONQUISTA,"""29°12'37""""S  59°40'48""""W""",-59.68,-29.21027778,49,Metros,Reconquista,7,S,PUBLICO,CONTROL,RANE,,Nacional,SI,SI,SANTA FE
ALC,,,Aerodromo,AMEGHINO/LA CHACRA,"""34°48'34""""S  62°31'23""""W""",-62.52293,-34.80942,109,Metros,Florentino Ameghino,7,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ALV,,,Aerodromo,ALVEAR/AGROALVEAR SRL,"""33° 4' 7""""S  60°40' 1""""W""",-60.66682,-33.06853,32,Metros,Alvear,4.5,O,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
CON,,,Aerodromo,COLON,"""33°55'21""""S  61° 2'47""""W""",-61.04638889,-33.9225,90,Metros,Colon,5,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HTE,,,Helipuerto,SALTA/TEMET,"""24°50'10""""S  65°22'20""""W""",-65.372347,-24.836242,1180,Metros,Salta,6.5,SE,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SALTA
RES,,,Aerodromo,RESISTENCIA/AEROCLUB,"""27°37'52""""S  59°10'47""""W""",-59.17972222,-27.63111111,50,Metros,Resistencia,30,SSE,PUBLICO,AERADIO,RANE,,Nacional,NO,NO,CHACO
URO,,,Aerodromo,PEDRO LURO,"""39°27'21""""S  62°40'30""""W""",-62.675,-39.45583333,27,Metros,Pedro Luro,4,N,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
LEO,,,Aerodromo,LEONES,"""32°38'34""""S  62°19' 1""""W""",-62.31681,-32.64264,114,Metros,Leones,3,NO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
ENV,,,Aerodromo,RIACHUELO/NUEVA VALENCIA,"""27°35'15""""S  58°49' 8""""W""",-58.819,-27.58744,57,Metros,Corrientes,13.5,S,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,CORRIENTES
PNA,,,Aerodromo,PARANA/CLUB DE PLANEADORES,"""31°43'51""""S  60°13'12""""W""",-60.22,-31.73083333,46,Metros,Parana,29,E,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RIOS
SNY,,,Aerodromo,SAN NICOLAS DE LOS ARROYOS,"""33°23'27""""S  60°11'44""""W""",-60.19555556,-33.39083333,30,Metros,San Nicolas de los Arroyos,6,SSE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
HCR,,,Helipuerto,BARREALES - GRAN MENDOZA/TRANSENER S.A.,"""33° 5'57""""S  68°34'46""""W""",-68.579397,-33.099208,674,Metros,Barreales,0,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,MENDOZA
HET,,,Helipuerto,SANTIAGO DEL ESTERO/HELIPUERTO EDIFICIO TRIBUNALES,"""27°46'53""""S  64°15'54""""W""",-64.265127,-27.781396,195,Metros,Av. H. Yrigoyen entre Av. Alvear y Chacabuco,0,,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,SANTIAGO DEL ESTERO
MER,SADR,,Aerodromo,MERLO,"""34°40'35""""S  58°44'38""""W""",-58.74388889,-34.67638889,15,Metros,Merlo,2,SO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
UCO,,,Aerodromo,CHACABUCO,"""34°36'26""""S  60°24'35""""W""",-60.40972222,-34.60722222,69,Metros,Chacabuco,7,NE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
VAL,,,Aerodromo,VALCHETA,"""40°41'57""""S  66° 9'26""""W""",-66.1573,-40.69909,192,Metros,Valcheta,1.5,SE,PUBLICO,NOCONTROL,RASU,,Nacional,NO,NO,RIO NEGRO
DIO,,,Aerodromo,TANDIL/COMANDANTE EDUARDO A. OLIVERO,"""37°20'48""""S  58°58'58""""W""",-58.98268,-37.34678,193,Metros,Tandil,15,ESE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
ELD,SATD,ELO,Aerodromo,ELDORADO,"""26°23'49""""S  54°34'29""""W""",-54.57472222,-26.39694444,209,Metros,Eldorado,5,NE,PUBLICO,AERADIO,RANE,CIVIL,Nacional,NO,NO,MISIONES
GPI,SAZG,GPO,Aerodromo,GENERAL PICO,"""35°41'41""""S  63°45'32""""W""",-63.75888889,-35.69472222,140,Metros,General Pico,3.5,SO,PUBLICO,AERADIO,RACE,CIVIL,Nacional,SI,SI,LA PAMPA
LLC,,,Aerodromo,LONGCHAMPS/LA CAIDA,"""34°51'45""""S  58°20'41""""W""",-58.34472222,-34.8625,28,Metros,Longchamps,4,E,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
LLJ,,,Aerodromo,LAS LAJAS,"""38°32'18""""S  70°20'12""""W""",-70.3367,-38.53828,850,Metros,Las Lajas,3,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
VIG,SAAU,,Aerodromo,VILLAGUAY,"""31°51' 2""""S  59° 4'23""""W""",-59.07305556,-31.85055556,40,Metros,Villaguay,5,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RIOS
ZAP,SAHZ,APZ,Aerodromo,ZAPALA,"""38°58'33""""S  70° 6'48""""W""",-70.11346389,-38.97588611,1048,Metros,Zapala,7.5,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,NEUQUEN
CAY,,,Aerodromo,SAN CAYETANO,"""38°20' 2""""S  59°37'49""""W""",-59.63027778,-38.33388889,100,Metros,San Cayetano,1.5,ONO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
FOR,,,Aerodromo,FORMOSA/AEROCLUB,"""26°18' 5""""S  58°17'54""""W""",-58.29833333,-26.30138889,70,Metros,Formosa,15,SO,PUBLICO,AERADIO,RANE,CIVIL,Nacional,NO,NO,FORMOSA
HUE,,,Aerodromo,CARHUE,"""37°11'38""""S  62°46'53""""W""",-62.78138889,-37.19388889,110,Metros,Carhue,1.5,SO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
SCF,,,Aerodromo,SANFORD/CASILDA FUMIGACIONES,"""33°10'34""""S  61°12'10""""W""",-61.20267,-33.17625,79,Metros,Casilda,9,SE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
VER,,,Aerodromo,VERA,"""29°28' 6""""S  60°13'35""""W""",-60.2264,-29.46835,58,Metros,Vera,1,SO,PUBLICO,NOCONTROL,RANE,,Nacional,NO,NO,SANTA FE
VIC,,,Aerodromo,VICTORIA,"""32°35' 4""""S  60°11'22""""W""",-60.1894,-32.5845,12,Metros,Victoria,4.8,NO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RIOS
GAR,,,Aerodromo,GENERAL ALVEAR,"""35°58'44""""S  59°54'25""""W""",-59.90699,-35.97895,50,Metros,General Alvear,11.5,NE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HES,,,Helipuerto,ARIES/TOTAL FINA,"""52°40'59""""S  68° 2'31""""W""",-68.041944,-52.683056,0,Pies,,0,,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
IGL,,,Aerodromo,INGENIERO LUIGGI,"""35°21'20""""S  64°28'31""""W""",-64.47527,-35.35546,193,Metros,Ingeniero Luiggi,2,N,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
LRT,,,Aerodromo,LAS ROSAS/HORIZONTE APLICACIONES AEREAS,"""32°31'13""""S  61°33' 3""""W""",-61.55083333,-32.52027778,98,Metros,Las Rosas,6,SE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
NIK,,,Aerodromo,LOBERIA/NIKA,"""38° 9'24""""S  58°45'39""""W""",-58.76087,-38.15666,80,Metros,Loberia,2,E,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
TSV,,,Aerodromo,TORTUGAS/EA. SAN VICENTE,"""32°59'56""""S  61°46'41""""W""",-61.77805556,-32.99888889,70,Metros,Tortugas,28,SSE,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,SANTA FE
FVA,,,Aerodromo,FLORENCIO VARELA/EL PAJARO,"""34°49'36""""S  58°19' 0""""W""",-58.31666667,-34.82666667,16,Metros,Florencio Varela,3.5,SO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
GVA,,,Aerodromo,GENERAL ALVEAR/AEROCLUB,"""34°58'11""""S  67°43'27""""W""",-67.72416667,-34.96972222,466,Metros,General Alvear,4,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,MENDOZA
HGB,,,Helipuerto,SALTA/CENTRO CIVICO GRAND BOURG,"""24°46'51""""S  65°27' 4""""W""",-65.451084,-24.780762,1260,Metros,Salta,4,NE,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SALTA
ROB,,,Aerodromo,ROBERTS/AGROAEREO,"""35° 8' 9""""S  61°59'50""""W""",-61.99718,-35.13588,99,Metros,Roberts,3,ONO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
SLV,,,Aerodromo,EMBARCACION/SALVITA,"""23°12'47""""S  64° 2' 3""""W""",-64.03403,-23.21306,283,Metros,Embarcacion,6,E,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SALTA
VLL,,,Aerodromo,VILLAGUAY/EL MALAGUEÑO,"""31°41'32""""S  59°24'38""""W""",-59.41059,-31.69211,55,Metros,Villaguay,40,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RIOS
BHT,,,Aerodromo,BRAGADO/HARAS TRELLIRIS,"""35°19'53""""S  60°34'44""""W""",-60.57884,-35.33147,60,Metros,Bragado,12,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
