06/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDX mWEIGHT HIST,indx_mweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_DATE_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.000000,,,99.999996,,,100.000000,,,100.000003,,,100.000000,,,100.000000,,,100.000001,,,100.000001,,,99.999999,,,99.999999,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000002,,,100.000000,,,99.999999,,,100.000000,,,100.000000,
,,,,,,,,,,,,PINFRA* MM,1.39879,,PINFRA* MM,1.39879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIBRAMQ MM,0.770695905,,,,,,,,,
,,,,,,,,,,,,Q* MM,0.445555,,Q* MM,0.445555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGACPO MM,0.834148083,,,,,,,,,
,,,,,,,,,,,,RA MM,0.30734,,RA MM,0.30734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORBIA* MM,1.425687681,,,,,,,,,
,,,,,,,,,,,,SITESB1 MM,0.419989,,SITESB1 MM,0.419989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERRA13 MM,0.932412748,,,,,,,,,
,,,,,,,,,,,,TLEVICPO MM,2.756567,,TLEVICPO MM,2.756567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIBRAPL MM,0.623431271,,,,,,,,,
,,,,,,,,,,,,UNIFINA MM,0.139066,,UNIFINA MM,0.139066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINFRA* MM,1.467755205,,,,,,,,,
,,,,,,,,,,,,VESTA* MM,0.581638,,VESTA* MM,0.581638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q* MM,0.564465376,,,,,,,,,
,,,,,,,,,,,,VOLARA MM,0.473711,,VOLARA MM,0.473711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RA MM,0.834089517,,,,,,,,,
,,,,,,,,,,,,WALMEX* MM,10.161088,,WALMEX* MM,10.161088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SITESB1 MM,0.674250901,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AZTECACP MM,0.106802285,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIFINA MM,0.236426553,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALMEX* MM,9.342159639,,,,,,,,,
